source,category,title,text
https://www.nbcnews.com/politics/2026-election/missouri-governor-special-session-redistricting-congressional-maps-gop-rcna228130,Politics,Politics 11,Missouri Governor Mike Kehoe calls a special session to redraw congressional maps to boost GOP ahead of the 2026 midterms.
https://www.nbcnews.com/politics/2026-election/conservative-wisconsin-supreme-court-justice-rebecca-bradley-wont-seek-rcna228061,Politics,Politics 12,"Conservative Wisconsin Supreme Court Justice Rebecca Bradley announces she won't run for re-election, opening a race liberals eye to expand their majority."
https://www.theguardian.com/us-news/us-politics,Politics,Politics 13,US senators demand 'massive surge' of baby formula and aid to be sent to Gaza.
https://www.cnn.com/politics,Politics,Politics 14,US announces it will deny visa to Palestinian Authority president and other officials ahead of UN General Assembly.
https://www.politico.com/,Politics,Politics 15,Social Security data chief resigns after whistleblower complaint over DOGE data access.
https://www.nbcnews.com/politics,Politics,Politics 16,"Find the latest political news stories, photos, and videos on NBCNews.com."
https://www.nytimes.com/ca/section/politics,Politics,Politics 17,"Breaking news and analysis on U.S. politics, including the latest coverage of the White House, Congress, the Supreme Court and more."
https://www.bbc.com/news/topics/cwnpxwzd269t,Politics,Politics 18,US court rules many of Trump's global tariffs are illegal.
https://apnews.com/politics,Politics,Politics 19,Read breaking political news today from The Associated Press.
https://www.politico.com/politics,Politics,Politics 20,A letter from the Democratic Governors Association comes amid Trump threats to send troops to Chicago.
https://www.independent.co.uk/news/world/americas/us-politics,Politics,Politics 21,AmeriCorps gets $184 million back after Trump froze funds.
https://www.msnbc.com/,Politics,Politics 22,"Iowa's Joni Ernst to retire from Congress, despite pressure from Republican leaders."
https://abcnews.go.com/Politics,Politics,Politics 23,"President Donald Trump revoked Secret Service protection for Kamala Harris on Thursday, according to a copy of the letter reviewed by ABC News."
https://www.bbc.com/news/us-canada,Politics,Politics 24,US court rules many of Trump's global tariffs are illegal.
https://www.usatoday.com/news/politics/,Politics,Politics 25,Court strikes down Trump tariffs.
https://www.cnn.com/,Politics,Politics 26,"View the latest news and breaking news today for U.S., world, weather, entertainment, politics and health at CNN.com."
https://news.yahoo.com/politics/,Politics,Politics 27,"The latest political news and headlines from Yahoo News, including national and state level updates, breaking stories and coverage."
https://www.cbsnews.com/politics/,Politics,Politics 28,Judge blocks Trump admin. from expanding fast-track deportations nationwide.
https://www.cbc.ca/news/politics,Politics,Politics 29,"U.S. appeals court finds Trump tariffs unlawful, setting up likely Supreme Court showdown."
https://www.axios.com/,Politics,Politics 30,President Trump on Friday warned a ruling striking down most of his tariffs 'would literally destroy the United States of America' if it stands.
https://www.washingtonpost.com/politics/,Politics,Politics 31,Poll: Republicans' view of key federal agencies has improved in the last year.
https://www.nbcnews.com/,Politics,Politics 32,Trump's battle over CDC leadership boils down to a key goal: Eliminating dissent.
https://www.theguardian.com/us-news,Politics,Politics 33,US senators demand 'massive surge' of baby formula and aid to be sent to Gaza.
https://www.pbs.org/newshour/politics,Politics,Politics 34,"In our news wrap Friday, President Trump is trying to block nearly $5 billion in foreign aid funding already approved by Congress."
https://www.wsj.com/politics,Politics,Politics 35,"The latest breaking news and analysis on U.S. politics including coverage of the White House, elections, national security, the Supreme Court and more."
https://www.npr.org/sections/politics/,Politics,Politics 36,"NPR's expanded coverage of U.S. and world politics, the latest news from Congress and the White House and elections."
https://thehill.com/,Politics,Politics 37,"The Hill is a top US political website, read by the White House and more lawmakers than any other site -- vital for policy, politics and election campaigns."
https://www.aljazeera.com/tag/politics/,Politics,Politics 38,"Trump said he would allow Chinese students into US universities, months after administration announced visa revocations."
https://www.cnbc.com/politics/,Politics,Politics 39,Trump tells Fed's Lisa Cook she's fired; she says 'he has no authority to do so'.
https://www.vox.com/politics,Politics,Politics 40,Vox's in-depth analysis of the political decisions and legislation happening in Washington and what it means for your life.
https://www.reuters.com/business/,Business,Business 1,Appeals court rules most of Trump's tariffs as illegal.
https://www.bbc.com/business,Business,Business 2,Bank share prices tumble in UK after calls for tax on profits.
https://www.cnn.com/business,Business,Business 3,"View the latest business news about the world's top companies, and explore articles on global markets, finance, tech, and the innovations driving us forward."
https://www.foxbusiness.com/,Business,Business 4,"Business news, small business news, business financial news and investment news from FoxBusiness.com."
https://www.cnbc.com/business/,Business,Business 5,Powerball jackpot hits $1 billion—here's the after-tax payout in every U.S. state.
https://www.wsj.com/,Business,Business 6,"Amazon wants bigger teams. Bank of America is flattening. Corporate America is shedding managers, and the workplace is changing radically."
https://finance.yahoo.com/,Business,Business 7,"At Yahoo Finance, you get free stock quotes, up-to-date news, portfolio management resources, international market data, social interaction and mortgage rates."
https://www.nbcnews.com/business,Business,Business 8,"Find the latest news, videos, and photos on finance, industry trends, money, and more on NBCNews.com."
https://www.businessinsider.com/,Business,Business 9,"Business Insider tells the global tech, finance, stock market, media, economy, lifestyle, real estate, AI and innovative stories you want to know."
https://www.ft.com/,Business,Business 10,S&P 500+0.32%.
https://www.usnews.com/news/business,Business,Business 11,"Court Finds Trump's Tariffs an Illegal Use of Emergency Power, but Leaves Them in Place for Now."
https://www.wsj.com/business,Business,Business 12,"Breaking news and exclusive analysis on business, including the latest news on tech, media and earnings."
https://www.marketwatch.com/,Business,Business 13,"MarketWatch provides the latest stock market, financial and business news."
https://www.theguardian.com/uk/business,Business,Business 14,"Latest financial, market & economic news and analysis from The Guardian."
https://www.economist.com/topics/business,Business,Business 15,"Explore our coverage of business, commerce, and industries plus our Bartleby column on work and management."
https://abcnews.go.com/Business,Business,Business 16,"Find the latest business news on Wall Street, jobs and the economy, the housing market, personal finance and money investments and much more on ABC News."
https://www.investors.com/,Business,Business 17,Nvidia fell as chip stocks struggled.
https://www.thehindu.com/business/,Business,Business 18,BoB holds mega camp in Bengaluru under financial inclusion drive.
https://www.reuters.com/business/finance/,Business,Business 19,China's big banks warn of more margin pressure in the second half.
https://www.businesslive.co.za/,Business,Business 20,Oil falls as traders fret about Trump's tariffs.
https://m.economictimes.com/,Business,Business 21,Business news today: Read India Business News Live.
https://hbr.org/,Business,Business 22,"Find new ideas and classic advice on strategy, innovation and leadership, for global leaders from the world's best business and management experts."
https://www.cbc.ca/news/business,Business,Business 23,Canadian economy shrinks 1.6% in 2nd quarter as U.S. tariffs squeeze exports.
https://finance.yahoo.com/news/,Business,Business 24,"At Yahoo Finance, you get free stock quotes, up-to-date news, portfolio management resources, international market data, social interaction and mortgage rates."
https://www.nytimes.com/section/business,Business,Business 25,"Breaking news and analysis on business and the economy, including the latest news in technology, stock markets, media and finance."
https://www.business-standard.com/,Business,Business 26,"Business News: Get latest news on share market, personal finance news, economy news, stock market updates, company news, India Pakistan conflict news."
https://timesofindia.indiatimes.com/business,Business,Business 27,"Top 10 Largest Economies In The World 2025: India Set To Overtake Germany, Japan To Become 3rd Largest Soon!"
https://www.nytimes.com/2025/08/30/business/energy-environment/alaska-natural-gas-shortage.html,Business,Business 28,Alaska's looming energy crisis in Anchorage highlights the risks of relying on fossil fuels.
https://www.nytimes.com/2025/08/29/business/cadillac-electric-vehicles-trump.html,Business,Business 29,"Cadillac's electric models have been successful, but may face challenges if the $7,500 federal tax credit ends next month."
https://www.nytimes.com/2025/08/29/business/pce-inflation-fed.html,Business,Business 30,"The Fed's preferred inflation gauge remained stable in July, keeping the central bank on track to lower interest rates in September."
https://www.nytimes.com/2025/08/28/business/media/atlanta-journal-constitution-print-edition.html,Business,Business 31,The Atlanta Journal-Constitution will cease print editions to focus resources on its online news operation.
https://www.nytimes.com/2025/08/29/business/car-shipping.html,Business,Business 32,Shipping a car long distance can be more efficient and cost-effective than driving it yourself.
https://www.bloomberg.com/,Business,Business 33,"Oil Set for Monthly Loss as Glut Concerns, Geopolitics Dominate."
https://www.cnbc.com/,Business,Business 34,CNBC is the world leader in business news and real-time financial market coverage.
https://www.bloomberg.com/,Business,Business 35,Lynas Rare Earths Shares Set to Resume After A$750 Million Sale.
https://www.reuters.com/business/,Business,Business 36,"Exclusive: Meta created flirty chatbots of Taylor Swift, other celebrities without permission."
https://www.bbc.com/business,Business,Business 37,"A think tank says a new bank tax could raise £8bn a year, a suggestion that sent bank shares tumbling."
https://www.cnn.com/business,Business,Business 38,"Explore articles on global markets, finance, tech, and the innovations driving us forward."
https://www.foxbusiness.com/,Business,Business 39,"Small business news, business financial news and investment news from FoxBusiness.com."
https://www.cnbc.com/business/,Business,Business 40,"Stop talking about your feelings, says psychologist—what to say instead to be more successful at work."
https://www.nbcnews.com/health/recall/salmonella-eggs-outbreak-hospitalized-cdc-rcna227818,Health,Health 1,"A salmonella outbreak linked to eggs has sickened 95 people across the country, according to the CDC."
https://www.nbcnews.com/health/health-news/doctors-say-kennedys-push-nutrition-education-medicine-good-idea-theor-rcna227539,Health,Health 2,"Doctors view RFK Jr.'s push for nutrition education in medicine as a good idea in theory, but note practical and systemic barriers to healthy eating."
https://www.nbcnews.com/health/health-news/tailormade-als-drug-slowed-progession-aso-rcna221798,Health,Health 3,"A tailor-made drug has slowed the progression of ALS in a man, raising questions about the future of treatment for the disease."
https://www.nbcnews.com/health/health-news/cdc-director-monarez-out-confirmed-rfk-jr-rcna227620,Health,Health 4,"Leadership changes at the CDC follow the firing of director Monarez, with her lawyers citing refusal to follow 'reckless directives' and the White House saying she was not aligned with the President's agenda."
https://www.nbcnews.com/health/health-news/texas-enacts-maha-bills-kennedy-joins-abbott-signing-ceremony-rcna227643,Health,Health 5,"Texas enacted MAHA bills with new restrictions on food stamps and fitness/education requirements in schools, with RFK Jr. joining Gov. Abbott for the signing ceremony."
https://www.nbcnews.com/health/health-news/fda-approves-fall-covid-shots-new-restrictions-rfk-jr-rcna227569,Health,Health 6,"The FDA approved fall Covid shots with new restrictions, limiting them to a smaller, high-risk group, according to the Health Department."
https://www.nbcnews.com/news/us-news/family-4-year-old-brain-damage-files-22-million-lawsuit-dentist-rcna227068,Health,Health 7,"A family filed a $22 million lawsuit against a dentist after their 4-year-old suffered brain damage under anesthesia, leaving the child unable to walk or talk."
https://www.nbcnews.com/sports/nfl/desmond-watson-heaviest-player-nfl-history-released-bucs-rcna227460,Health,Health 8,"Desmond Watson, the heaviest player in NFL history at 464 pounds, was released by the Tampa Bay Bucs after going undrafted."
https://www.nbcnews.com/health/health-news/cdc-quietly-scaled-back-surveillance-program-foodborne-illnesses-rcna227089,Health,Health 9,"The CDC quietly scaled back a surveillance program for foodborne illnesses, now monitoring only two pathogens instead of the usual eight as of July 1."
https://www.nbcnews.com/news/us-news/2-sickened-legionnaires-bronx-apartment-complex-evaluation-underway-rcna227186,Health,Health 10,"Two people were sickened with Legionnaires' disease at a Bronx apartment complex, with an evaluation underway, amid a larger outbreak in nearby Harlem."
https://www.nbcnews.com/news/us-news/maha-loves-dietary-supplements-hasnt-led-gains-washington-rcna226973,Health,Health 11,"The dietary supplements industry, supported by MAHA and RFK Jr., is still awaiting policy action from the White House."
https://abcnews.go.com/Health/doctors-rethink-decades-routine-beta-blocker-patients-after/story?id=125112970,Health,Health 12,Two new studies point in opposite directions regarding routine beta blocker use after a heart attack.
https://abcnews.go.com/Health/covid-vaccine-complicated-after-new-fda-restrictions/story?id=125106993,Health,Health 13,"The FDA narrowed approval of the new COVID-19 vaccines, making vaccination more complicated."
https://abcnews.go.com/Health/video/kids-sleep-screens-face-higher-heart-risks-study-125108195,Health,Health 14,A study suggests kids who sleep less and use screens more may face higher heart risks.
https://abcnews.go.com/Health/covid-cases-hospitalizations-ticking-us-remain-lower-year/story?id=125016283,Health,Health 15,"COVID cases and hospitalizations are ticking up in the US, though they remain lower than last year."
https://abcnews.go.com/Health/fda-expands-warning-radioactive-shrimp-2-brands-recalled/story?id=125104448,Health,Health 16,"The FDA expanded a warning on radioactive shrimp, recalling nearly 18,000 bags of frozen Kroger cooked shrimp."
https://abcnews.go.com/Health/video/2-dead-after-eating-louisiana-raw-oysters-infected-125098467,Health,Health 17,Two more people died after eating Louisiana raw oysters infected with flesh-eating bacteria.
https://abcnews.go.com/Health/wireStory/death-toll-legionnaires-disease-outbreak-new-york-city-125091537,Health,Health 18,"The death toll from a Legionnaires' disease outbreak in New York City rose to seven, with over 100 diagnosed."
https://abcnews.go.com/Health/video/timeline-turmoil-cdc-125083445,Health,Health 19,"The CDC has seen several resignations, mass layoffs, and major changes in vaccine policy in recent months."
https://abcnews.go.com/Health/mass-layoffs-resignations-major-vaccine-policy-timeline-turmoil/story?id=125056783,Health,Health 20,"HHS announced Susan Monarez was no longer CDC director, but Monarez rejected the firing."
https://abcnews.go.com/Health/wireStory/health-leaders-launch-new-latino-focused-data-hub-125079888,Health,Health 21,Latino public health leaders launched a new research institute in response to federal funding cuts for diversity initiatives.
https://abcnews.go.com/Health/wireStory/photos-show-workers-rally-senior-cdc-officials-forced-125077439,Health,Health 22,Workers rallied for senior CDC officials forced off the Atlanta headquarters campus.
https://abcnews.go.com/Health/wireStory/killing-unitedhealthcare-ceo-inspired-followers-prosecutors-125076148,Health,Health 23,"Prosecutors say the man who killed the UnitedHealthcare CEO inspired followers, including a recent NFL headquarters shooter."
https://abcnews.go.com/Health/wireStory/departures-roil-cdc-leadership-agency-125071756,Health,Health 24,The CDC faces operational jeopardy after the ousting of its director and resignations of high-profile leaders.
https://abcnews.go.com/Health/video/fda-moves-forward-updated-covid-vaccines-restrictions-125070815,Health,Health 25,"The FDA moved forward with updated COVID vaccines, following CDC changes in vaccine recommendations."
https://abcnews.go.com/Health/video/fda-approves-updated-covid-vaccines-restrictions-125063350,Health,Health 26,The FDA approved updated COVID-19 vaccines with restrictions on who can receive them.
https://abcnews.go.com/Health/cdc-director-susan-monarez-ousted-4-weeks-after/story?id=125039459,Health,Health 27,"CDC director Susan Monarez was ousted four weeks after being confirmed, amid pressure from the Trump administration."
https://abcnews.go.com/Health/wireStory/cdc-dramatically-scales-back-program-tracks-food-poisoning-125040287,Health,Health 28,"The CDC scaled back its FoodNet program, now tracking only two pathogens instead of eight for food poisoning infections."
https://www.medicalnewstoday.com/,Health,Health 29,"Medical News Today shares three actionable resolutions that can help improve brain, heart, and metabolic health in the new year via diet, sleep, and exercise."
https://www.cnn.com/health,Health,Health 30,"View the latest health news and explore articles on fitness, diet, nutrition, parenting, relationships, medicine, diseases and healthy living at CNN Health."
https://www.medscape.com/,Health,Health 31,Aspirin Confers No Long-Term Heart Benefits in Older Adults.
https://www.webmd.com/news/default.htm,Health,Health 32,Daily health news from WebMD's team of award-winning journalists.
https://www.nbcnews.com/health,Health,Health 33,"Find the latest news on food & diet, healthcare and healthy living on NBCNews.com."
https://www.nytimes.com/section/health,Health,Health 34,"The latest news on health and medicine, covid, vaccines, global health, mental health, Obamacare, health insurance, Medicare, Medicaid, opioids, cancer."
https://newsnetwork.mayoclinic.org/,Health,Health 35,Mayo Clinic Q&A: Reconnect with exercise during cancer treatment.
https://www.who.int/news,Health,Health 36,Disease Outbreak News.
https://www.bbc.com/news/health,Health,Health 37,Children to be offered chickenpox vaccine on NHS.
https://www.kff.org/,Health,Health 38,Listen to the Latest 'KFF Health News Minute'.
https://www.usnews.com/news/health-news,Health,Health 39,Labor Day Mission: Build Social Ties Through Live Events.
https://medicalxpress.com/,Health,Health 40,"Medical and health news service that features the most comprehensive coverage in the fields of neuroscience, cardiology, cancer, HIV/AIDS, psychology."
